Club Name,Address,City,State,Zip Code,Zone,Splashball
Scorpions,72912 Tamarisk, Palm Desert, California,92260,Southern Pacific Zone,FALSE
Scottsdale Water Polo,"Brophy College Preparatory, 4701 North Central Avenue", Phoenix, Arizona,85012,Mountain Zone,FALSE
Seaside Water Polo,"2604-B El Camino Real, #365", Carlsbad, California,92008,Pacific Southwest Zone,TRUE
Seattle Otters Water Polo,500 23Rd Avenue E, Seattle, Washington,98122,Pacific Northwest & Hawaii Zone,FALSE
Seattle Water Polo,"Helene Madison Pool, 13401 Merdian N.", Seattle, Washington,98133,Pacific Northwest & Hawaii Zone,FALSE
Seminole Water Polo Club,141 North Road, Lake Mary, Florida,32746,Southeast Zone,TRUE
SFV,"Calabasas High School, 22855 Mulholland Highway", Calabasas, California,91302,Coastal California Zone,FALSE
Shore Aquatics,4320 East Olympic Plaza, Long Beach, California,90803,Coastal California Zone,TRUE
Sierra Nevada Water Polo,6566 S McCarran Blvd Suite A, Reno, Nevada,89509,Mountain Zone,TRUE
Silicon Valley Outlaws,"Valley Christian High School, 100 Skyway Dr.", San Jose, California,95111,Pacific Zone,FALSE
Sirens Water Polo Club,3535 N Cornelia Ave, Fresno, California,93722,Central California Zone,TRUE
SKIP,P.O. Box 2746, Merced, California,95344,Central California Zone,TRUE
Sleepy Hollow Aquatics,29 Angela Ave, San Anselmo, California,94960,Pacific Zone,TRUE
SoAC - UCLS Water Polo Club,"34009 Alvarado-Niles Road, 39901 Syracuse Ave", Union City, California,94587,Pacific Zone,TRUE
SOCAL Water Polo Foundation,Po Box 1996, Tustin, California,92781,Southern Pacific Zone,TRUE
SOL Water Polo,900 Otay Lakes Rd #15000, Chula Vista, California,91910,Pacific Southwest Zone,TRUE
Solano County Water Polo Club,"Cunningham Aquatic Complex, 801 Heartwood Avenue", Vallejo, California,94591,Central California Zone,FALSE
Sonora Water Polo,20045 Sommette Dr., Sonora, California,95370,Central California Zone,TRUE
South Bay United Water Polo Club,1601 N. Sepulveda Blvd #370, Manhattan Beach, California,90266,Coastal California Zone,TRUE
South Coast Water Polo Club,275 East Hillcrest Drive #160-234, Thousand Oaks, California,91360,Coastal California Zone,TRUE
South Davis Water Polo,550 N. 200 West, Bountiful, Utah,84010,Mountain Zone,TRUE
South Florida Aquatics - Hurricanes,916 N. 16Th Avenue, Hollywood, Florida,33020,Southeast Zone,TRUE
South Florida Water Polo,820 Ne 18Th Ave, Pompano Beach, Florida,33060,Southeast Zone,FALSE
South Oxnard Water Polo Club,,,,,Coastal California Zone,FALSE
South Peninsula Water Polo Foundation,"Menlo College, 1000 El Camino", Atherton, California,94027,Pacific Zone,FALSE
South Swell Water Polo Club,,,,,Pacific Southwest Zone,FALSE
South Valley Water Polo,"Mt. Whitney High School, 900 South Conyer Street", Visalia, California,93291,Central California Zone,TRUE
Southern Utah Water Polo (SUWP),1649 W State St, Hurricane, Utah, 84737-2089,Mountain Zone,TRUE
Southern Water Polo Club,"Mesa College, 7250 Mesa Villege Drive", San Diego, California,94111,Pacific Southwest Zone,TRUE
Southside Water Polo Club Honey Badgers,9531 Ocean Drive, Rosharon, Texas,77583,Southwest Zone,TRUE
Southwest Ohio Sea Monsters,6249 Mason Montgomery Rd,6249 Mason Montgomery Rd, Mason,45040,Midwest Zone,FALSE
SPA Vibes International,3901 El Segundo Blvd., Hawthorne, California,90250,Coastal California Zone,FALSE
Specialized Goalie Clinic,1150 Caminito Amarillo, San Marcos, California,92069,Pacific Southwest Zone,FALSE
St. Charles Water Polo Club,"St. Charles North High School, 255 Red Gate Rd.", St. Charles, Illinois,60175,Midwest Zone,FALSE
St. Louis Lions Water Polo Club,101 N Warson Dr, St. Louis, Missouri,63124,Midwest Zone,FALSE
St. Xavier,,,,,Midwest Zone,TRUE
Stanford Water Polo Foundation,"Foothill-De Anza Community College District, 12345 El Monte Road", Los Altos Hills, California,94022,Pacific Zone,FALSE
Sultan Polo,"Santana High School, 9915 North Magnolia Avenue", Santana, California,92071,Pacific Southwest Zone,FALSE
Sunset San Diego,5375 Lodi St., San Diego, California,92117,Pacific Southwest Zone,FALSE
Super Buena Ventura Water Polo Club,2 north catalina, Ventura, California,93001,Coastal California Zone,TRUE
Supreme Water Polo,"Van Nuys-Sherman Oaks Swimming Pool, 14201 Huston St.", Los Angeles, California,91423,Coastal California Zone,FALSE
SwimNation Aquatics Programs-SNAP,"Portola High School, 1001 Cadence", Irvine, California,92618,Southern Pacific Zone,TRUE
SwimRVA Water Polo,5050 Ridgedale Parkway, Richmond, Virginia,23234,Northeast Zone,FALSE
Sylvania Water Polo,"Northview Natatorium, 5403 Silica Dr", Sylvania, Ohio,43560,Midwest Zone,FALSE
Tampa Bay Water Polo,4811 Kelly Road, Tampa, Florida,33615,Southeast Zone,FALSE
Team New York Aquatics,"Seahorse Fitness Inc., 69 Columbia St", New York, New York,10002,Northeast Zone,FALSE
Team Orlando Water Polo Club,2263 Oakington Street, Winter Garden, Florida,34787,Southeast Zone,TRUE
Team Radical Water Polo Club,3351 Miranda Ave, Palo Alto, California,94304,Pacific Zone,TRUE
